Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Dept-User creation/input_NYDOH""), ""NYDOH"")",Chrome 113.0.0.0,,,2023-05-22 13:15:05,2023-05-22 13:15:06,0.887s,PASSED
"setText(findTestObject(""Dept-User creation/input_CADOH""), ""CADOH"")",Chrome 113.0.0.0,,,2023-05-22 13:15:06,2023-05-22 13:15:07,0.909s,PASSED
"setText(findTestObject(""Dept-User creation/input_FLDOH""), ""FLDOH"")",Chrome 113.0.0.0,,,2023-05-22 13:15:07,2023-05-22 13:15:08,0.884s,PASSED
"setText(findTestObject(""Dept-User creation/input_NYSPFI""), ""NYSPFI"")",Chrome 113.0.0.0,,,2023-05-22 13:15:08,2023-05-22 13:15:09,0.879s,PASSED
"setText(findTestObject(""Dept-User creation/input_AU-ID""), ""AU-ID"")",Chrome 113.0.0.0,,,2023-05-22 13:15:09,2023-05-22 13:15:09,0.886s,PASSED
"click(findTestObject(""Dept-User creation/button_Add Bench  Unit""))",Chrome 113.0.0.0,,,2023-05-22 13:15:09,2023-05-22 13:15:10,0.487s,PASSED
"setText(findTestObject(""Dept-User creation/input_BenchUnit_1""), findTestData(""Dept_Unit Data"").getValue(""Bench / Unit Name"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:10,2023-05-22 13:15:11,0.937s,PASSED
"D15 = getAttribute(findTestObject(""Dept-User creation/input_BenchUnit_1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:11,2023-05-22 13:15:11,0.368s,PASSED
println(D15),Chrome 113.0.0.0,,,2023-05-22 13:15:11,2023-05-22 13:15:11,0.000s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""Bench / Unit Name"", 2), D15)",Chrome 113.0.0.0,,,2023-05-22 13:15:11,2023-05-22 13:15:11,0.049s,PASSED
"setText(findTestObject(""Dept-User creation/input_CLIA 1""), findTestData(""Dept_Unit Data"").getValue(""CLIA License Number"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:11,2023-05-22 13:15:12,0.821s,PASSED
"D16 = getAttribute(findTestObject(""Dept-User creation/input_CLIA 1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:12,2023-05-22 13:15:12,0.383s,PASSED
println(D16),Chrome 113.0.0.0,,,2023-05-22 13:15:12,2023-05-22 13:15:12,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""CLIA License Number"", 2), D16)",Chrome 113.0.0.0,,,2023-05-22 13:15:12,2023-05-22 13:15:13,0.050s,PASSED
"setText(findTestObject(""Dept-User creation/input_Joint Commission 1""), findTestData(""Dept_Unit Data"").getValue(""Joint Commission"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:13,2023-05-22 13:15:14,1.082s,PASSED
"D17 = getAttribute(findTestObject(""Dept-User creation/input_Joint Commission 1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:14,2023-05-22 13:15:14,0.463s,PASSED
println(D17),Chrome 113.0.0.0,,,2023-05-22 13:15:14,2023-05-22 13:15:14,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""Joint Commission"", 2), D17)",Chrome 113.0.0.0,,,2023-05-22 13:15:14,2023-05-22 13:15:14,0.128s,PASSED
"setText(findTestObject(""Dept-User creation/input_CAP 1""), findTestData(""Dept_Unit Data"").getValue(""CAP"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:14,2023-05-22 13:15:15,1.015s,PASSED
"D18 = getAttribute(findTestObject(""Dept-User creation/input_CAP 1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:15,2023-05-22 13:15:16,0.400s,PASSED
println(D18),Chrome 113.0.0.0,,,2023-05-22 13:15:16,2023-05-22 13:15:16,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""CAP"", 2), D18)",Chrome 113.0.0.0,,,2023-05-22 13:15:16,2023-05-22 13:15:16,0.061s,PASSED
"setText(findTestObject(""Dept-User creation/input_COLA 1""), findTestData(""Dept_Unit Data"").getValue(""COLA"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:16,2023-05-22 13:15:16,0.833s,PASSED
"D19 = getAttribute(findTestObject(""Dept-User creation/input_COLA 1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:16,2023-05-22 13:15:17,0.379s,PASSED
println(D19),Chrome 113.0.0.0,,,2023-05-22 13:15:17,2023-05-22 13:15:17,0.000s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""COLA"", 2), D19)",Chrome 113.0.0.0,,,2023-05-22 13:15:17,2023-05-22 13:15:17,0.055s,PASSED
"setText(findTestObject(""Dept-User creation/input_AABB 1""), findTestData(""Dept_Unit Data"").getValue(""AABB"", 2))",Chrome 113.0.0.0,,,2023-05-22 13:15:17,2023-05-22 13:15:18,0.842s,PASSED
"D20 = getAttribute(findTestObject(""Dept-User creation/input_AABB 1""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:18,2023-05-22 13:15:18,0.409s,PASSED
println(D20),Chrome 113.0.0.0,,,2023-05-22 13:15:18,2023-05-22 13:15:18,0.000s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""AABB"", 2), D20)",Chrome 113.0.0.0,,,2023-05-22 13:15:18,2023-05-22 13:15:18,0.052s,PASSED
"setText(findTestObject(""Dept-User creation/input_AALA 1""), ""AALA 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:18,2023-05-22 13:15:19,0.803s,PASSED
"setText(findTestObject(""Dept-User creation/input_AOAHFAP 1""), ""AOAHFAP 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:19,2023-05-22 13:15:20,0.865s,PASSED
"setText(findTestObject(""Dept-User creation/input_ASHI 1""), ""ASHI 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:20,2023-05-22 13:15:21,0.798s,PASSED
